GEOTYPE,ST,GEO_ID,GEO_TTL,FOOTID_GEO,NAICS2012,NAICS2012_TTL,FOOTID_NAICS,YEAR,EMP,EMP_F,EMP_S,EMP_S_F,PAYANN,PAYANN_F,PAYANN_S,PAYANN_S_F,EMPAVPW,EMPAVPW_F,EMPAVPW_S,EMPAVPW_S_F,HOURS,HOURS_F,HOURS_S,HOURS_S_F,PAYANPW,PAYANPW_F,PAYANPW_S,PAYANPW_S_F,CSTMTOT,CSTMTOT_F,CSTMTOT_S,CSTMTOT_S_F,RCPTOT,RCPTOT_F,RCPTOT_S,RCPTOT_S_F,VALADD,VALADD_F,VALADD_S,VALADD_S_F,CEXTOT,CEXTOT_F,CEXTOT_S,CEXTOT_S_F
1,0,0100000US,United States,,31-33,Manufacturing,,2016,11112764,,0.1,,643406439,,0.1,,7733162,,0.2,,15680616,,0.2,,364984756,,0.1,,2942556208,,0.1,,5354694462,,0.1,,2408996392,,0.1,,168317599,,0.4,
1,0,0100000US,United States,,31-33,Manufacturing,,2015,11168264,,0.1,,636220649,,0.1,,7813966,,0.1,,15989402,,0.1,,361550118,,0.1,,3114223777,,0.1,,5519018458,,0.1,,2404701743,,0.1,,176754840,,0.2,
1,0,0100000US,United States,,311,Food manufacturing,,2016,1417046,,0.4,,62772330,,0.4,,1117966,,0.5,,2279263,,0.4,,43401629,,0.4,,472839934,,0.2,,764786594,,0.2,,292823621,,0.3,,17809728,,1.4,
1,0,0100000US,United States,,311,Food manufacturing,,2015,1390907,,0.4,,59623870,,0.3,,1100234,,0.4,,2265047,,0.4,,41331818,,0.4,,493601551,,0.2,,774131836,,0.2,,280907267,,0.3,,17537503,,1,
1,0,0100000US,United States,,3111,Animal food manufacturing,,2016,46136,,1.9,,2516479,,1,,32748,,2.4,,69711,,2.4,,1621105,,1.6,,38183600,,1.3,,56522602,,1.6,,18383717,,3.1,,1374710,,8.3,
1,0,0100000US,United States,,3111,Animal food manufacturing,,2015,43652,,2.5,,2402899,,1.3,,30348,,3.1,,66612,,2.7,,1534758,,1.6,,39812654,,0.9,,57328085,,1.4,,17595728,,3,,1160674,,4.2,
1,0,0100000US,United States,,3112,Grain and oilseed milling,,2016,52730,,1,,3226732,,0.8,,38241,,1.2,,83500,,1.1,,2140204,,0.8,,62882892,,0.3,,87657008,,0.3,,25161357,,0.5,,1284556,,1.5,
1,0,0100000US,United States,,3112,Grain and oilseed milling,,2015,52731,,1,,3210892,,0.8,,38052,,1.2,,84235,,1,,2142043,,0.8,,65991549,,0.3,,91095506,,0.3,,25065937,,0.4,,1424948,,1.2,
1,0,0100000US,United States,,3113,Sugar and confectionery product manufacturing,,2016,73738,,0.6,,3552019,,1.2,,53883,,0.6,,104958,,0.6,,2359298,,1.4,,19607687,,0.5,,35898798,,0.5,,16774615,,0.7,,793122,,1,
1,0,0100000US,United States,,3113,Sugar and confectionery product manufacturing,,2015,71845,,0.9,,3321198,,0.7,,53152,,1,,105261,,1.1,,2215524,,0.5,,18552667,,0.3,,34449397,,0.4,,15961463,,0.6,,1226655,,0.6,
1,0,0100000US,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2016,160550,,1.3,,7217022,,1.4,,133403,,1.4,,272408,,1.5,,5244847,,1.8,,38359015,,0.7,,71945524,,0.8,,33566971,,1.1,,1707536,,2.4,
1,0,0100000US,United States,,3114,Fruit and vegetable preserving and specialty food manufacturing,,2015,161965,,1.1,,7000698,,1,,135143,,1.2,,282121,,1.3,,5113537,,1.3,,39954385,,0.7,,73746758,,0.7,,34033118,,0.8,,2157948,,4.5,
1,0,0100000US,United States,,3115,Dairy product manufacturing,,2016,135821,,0.9,,7423898,,0.8,,102930,,0.6,,211239,,0.5,,5105351,,0.5,,77191514,,0.5,,111283872,,0.4,,34183261,,0.5,,3274720,,3,
1,0,0100000US,United States,,3115,Dairy product manufacturing,,2015,131694,,0.7,,7010379,,0.5,,99606,,0.6,,208183,,0.7,,4865721,,0.5,,79782713,,0.4,,111879545,,0.4,,31886617,,0.6,,2727185,,1,
1,0,0100000US,United States,,3116,Animal slaughtering and processing,,2016,479511,,0.9,,17736739,,0.7,,418210,,1,,861577,,0.8,,13808064,,0.8,,144063419,,0.5,,207659845,,0.4,,63520284,,0.6,,4169792,,3.6,
